week,date,date_end,title,deadline,content,tutorial,assignment
1,2025-01-14,,Course Introduction,,"materials/Weekly Materials/Week_1",,
1,2025-01-16,,U.S. Health Policy Landscape,,"materials/Weekly Materials/Week_1",,https://tulane.instructure.com/courses/2291178/assignments/14673851
2,2025-01-21,,Data Lab - Getting Started with R and RStudio,,"materials/Weekly Materials/Week_2","materials/Data Labs/datalab_1.qmd",
2,2025-01-23,,No Class,,,,
3,2025-01-28,,Policy Analysis Overview,,"materials/Weekly Materials/Week_3",,"assignments/Week 3 Reading Discussion Questions.pdf"
3,2025-01-30,,Data Lab - Navigating RStudio,,"materials/Weekly Materials/Week_3","materials/Data Labs/datalab_2.qmd",
4,2025-02-04,,Effective Policy Memos and Case Presentations,,"materials/Weekly Materials/Week_4",,
4,2025-02-06,,Data Lab - Descriptive Comparisons: Medicaid and Health,,"materials/Weekly Materials/Week_4","materials/Data Labs/datalab_3.qmd","assignments/Problem Sets/problem_set_1.qmd"
5,2025-02-11,,Medicaid Work Requirements: Stakeholder Perspectives,,"materials/Weekly Materials/Week_5",,
5,2025-02-13,,Data Lab - Expanding Descriptive Comparisons: Medicaid and Health,,"materials/Weekly Materials/Week_5",,"assignments/Problem Sets/problem_set_2.qmd"
6,2025-02-18,,Research Design: Randomization and Regression,,"materials/Weekly Materials/Week_6",,
6,2025-02-20,,Data Lab - Regression Basics: Controlling for Confounders,,"materials/Weekly Materials/Week_6",,
7,2025-02-25,,Reimagining the Affordable Care Act,,"materials/Weekly Materials/Week_7",,
7,2025-02-27,,Data Lab - Regression Basics: Controlling for Counfounders Pt.2,,"materials/Weekly Materials/Week_7",,"assignments/Week_7_assignments.qmd"
8,2025-03-04,,No Class - Spring Break!,,,,
8,2025-03-06,,No Class - Spring Break!,,,,
9,2025-03-11,,Case Presentations,,"materials/Weekly Materials/Week_9",,
9,2025-03-13,,Case Presentations,,"materials/Weekly Materials/Week_9",,"assignments/Week_9_assignments.qmd"
10,2025-03-18,,Research Design: Natural Experiments,,"materials/Weekly Materials/Week_10",,
10,2025-03-20,,Data Lab - Louisiana Medicaid Expansion and Medicaid Coverage,,"materials/Weekly Materials/Week_10",,
11,2025-03-25,,Medicaid Financing: FMAP and Block Grants,,"materials/Weekly Materials/Week_11",,
11,2025-03-27,,Data Lab - Louisiana Medicaid Expansion and Medicaid Coverage Pt.2,,"materials/Weekly Materials/Week_11",,"assignments/Week_11_assignments.qmd"
12,2025-04-01,,Quasi-Experimental Reserach Designs,,"materials/Weekly Materials/Week_12",,
12,2025-04-03,,Data Lab - Medicaid Expansion and Health,,"materials/Weekly Materials/Week_12",,"assignments/Week_12_assignments.qmd"
13,2025-04-08,,Quasi-Experimental Research Designs Pt.2,,"materials/Weekly Materials/Week_13",,
13,2025-04-10,,Data Lab - Medicaid Expansion and Health,,"materials/Weekly Materials/Week_13",,"assignments/Week_13_assignments.qmd"
14,2025-04-15,,No Class - Lagniappe Day,,,,
14,2025-04-17,,No Class - Capstone Trip,,,,"assignments/Week_14_assignments.qmd"
15,2025-04-22,,Data Lab - Data Visualization,,"materials/Weekly Materials/Week_15",,
15,2025-04-24,,Provider Payment Reforms: Policy Trade-Offs and Stakeholder Impacts,,"materials/Weekly Materials/Week_15",,"assignments/Week_15_assignments.qmd"
16,2025-04-29,,Data Lab - Data Visualization Pt.2,,"materials/Weekly Materials/Week_16",,
16,2025-05-01,,No Class - Final Policy Memo Due,,"materials/Weekly Materials/Week_16",,"assignments/Week_16_assignments.qmd"
